package,name,composable,skippable,restartable,readonly,inline,isLambda,hasDefaults,defaultsGroup,groups,calls,
dev.whosnickdoglio.baenotes.configuration.ConfigurationScreen,ConfigurationScreen,1,1,1,0,0,0,0,0,1,3,
dev.whosnickdoglio.baenotes.configuration.NewNoteScreen,NewNoteScreen,1,1,1,0,0,0,1,0,2,2,
dev.whosnickdoglio.baenotes.configuration.PreviewNewNoteScreen,PreviewNewNoteScreen,1,1,1,0,0,0,0,0,1,1,
dev.whosnickdoglio.baenotes.configuration.components.ColorRadioGroup,ColorRadioGroup,1,1,1,0,0,0,0,0,1,1,
dev.whosnickdoglio.baenotes.configuration.components.ColorRadioGroupPreview,ColorRadioGroupPreview,1,1,1,0,0,0,0,0,1,1,
dev.whosnickdoglio.baenotes.configuration.components.RadioButtonRow,RadioButtonRow,1,1,1,0,0,0,0,0,1,1,
dev.whosnickdoglio.baenotes.configuration.components.RadioButtonRowUnSelectedPreview,RadioButtonRowUnSelectedPreview,1,1,1,0,0,0,0,0,1,1,
dev.whosnickdoglio.baenotes.configuration.components.RadioButtonRowSelectedPreview,RadioButtonRowSelectedPreview,1,1,1,0,0,0,0,0,1,1,
dev.whosnickdoglio.baenotes.configuration.components.TextSizeSelector,TextSizeSelector,1,1,1,0,0,0,0,0,1,1,
dev.whosnickdoglio.baenotes.configuration.components.TextSizeSelectorPreview,TextSizeSelectorPreview,1,1,1,0,0,0,0,0,1,1,
dev.whosnickdoglio.baenotes.configuration.theme.BaeNotesTheme,BaeNotesTheme,1,1,1,0,0,0,1,0,3,3,
